Source,Destination,Length,Sequence,MessageType,Label
0,3,58,27956,0,0
0,3,58,27956,8,0
0,3,60,27914,8,1
0,3,60,27927,0,1
0,3,58,27957,0,0
0,3,58,27957,8,0
0,3,60,27927,8,1
0,3,78,14753,11,0
0,3,58,27958,0,0
0,3,58,27958,8,0
0,3,60,27906,0,1
0,3,60,27909,0,1
0,3,58,27959,0,0
0,3,58,27959,8,0
0,3,60,27928,0,1
0,3,78,14754,11,0
0,3,60,27928,8,1
0,3,58,27960,0,0
0,3,58,27960,8,0
0,3,60,27929,0,1
0,3,58,27961,0,0
0,3,58,27961,8,0
0,3,60,27929,8,1
0,3,60,27915,0,1
0,3,78,14755,11,0
0,3,58,27962,0,0
0,3,58,27962,8,0
0,3,60,27930,0,1
0,3,60,27930,8,1
0,3,58,27963,0,0
0,3,58,27963,8,0
0,3,60,27915,8,1
0,3,60,27931,0,1
0,3,78,14756,11,0
1,3,60,27522,1,0
0,3,68,27522,9,0
0,3,58,27964,0,0
0,3,58,27964,8,0
0,3,60,27931,8,1
0,3,60,27909,8,1
0,3,58,27965,0,0
0,3,58,27965,8,0
0,3,60,27932,0,1
0,3,78,14757,11,0
0,3,58,27966,0,0
0,3,58,27966,8,0
0,3,60,27932,8,1
0,3,60,27906,8,1
0,3,58,27967,0,0
0,3,58,27967,8,0
0,3,60,27916,0,1
0,3,60,27933,0,1
0,3,78,14758,11,0
0,3,58,27968,0,0
0,3,58,27968,8,0
0,3,60,27933,8,1
0,3,60,27916,8,1
0,3,58,27969,0,0
0,3,58,27969,8,0
0,3,60,27934,0,1
0,3,60,27934,8,1
0,3,78,14759,11,0
0,3,58,27970,0,0
0,3,58,27970,8,0
0,3,60,27905,0,1
0,3,60,27910,0,1
0,3,58,27971,0,0
0,3,58,27971,8,0
0,3,60,27935,0,1
0,3,60,27935,8,1
0,3,78,14760,11,0
0,3,58,27972,0,0
0,3,58,27972,8,0
0,3,60,27917,0,1
0,3,60,27917,8,1
0,3,58,27973,0,0
0,3,58,27973,8,0
0,3,60,27936,0,1
0,3,78,14761,11,0
0,3,58,27974,0,0
0,3,58,27974,8,0
0,3,60,27936,8,1
0,3,60,27910,8,1
0,3,58,27975,0,0
0,3,58,27975,8,0
0,3,60,27905,8,1
1,3,60,27523,1,0
0,3,68,27523,9,0
0,3,60,27937,0,1
0,3,78,14762,11,0
0,3,58,27976,0,0
0,3,58,27976,8,0
0,3,60,27937,8,1
0,3,60,27918,0,1
0,3,58,27977,0,0
0,3,58,27977,8,0
0,3,60,27918,8,1
0,3,78,14763,11,0
0,3,60,27938,0,1
0,3,58,27978,0,0
0,3,58,27978,8,0
0,3,60,27938,8,1
0,3,58,27979,0,0
0,3,58,27979,8,0
0,3,60,27907,0,1
0,3,60,27939,0,1
0,3,78,14764,11,0
0,3,58,27980,0,0
0,3,58,27980,8,0
0,3,60,27939,8,1
0,3,60,27919,0,1
0,3,58,27981,0,0
0,3,58,27981,8,0
0,3,60,27919,8,1
0,3,60,27940,0,1
0,3,78,14765,11,0
0,3,58,27982,0,0
0,3,58,27982,8,0
0,3,60,27940,8,1
0,3,58,27983,0,0
0,3,58,27983,8,0
0,3,60,27911,0,1
0,3,78,14766,11,0
0,3,60,27920,0,1
0,3,58,27984,0,0
0,3,58,27984,8,0
0,3,60,27941,0,1
0,3,58,27985,0,0
0,3,58,27985,8,0
