Source,Destination,Length,SequenceID,MessageType,Label
1,2,60,22123,0,0
0,2,58,19186,1,0
1,2,68,19186,9,0
1,2,60,22124,0,0
1,2,78,43844,11,0
1,2,60,22125,0,0
0,2,58,19187,1,0
1,2,68,19187,9,0
1,2,60,22126,0,0
0,2,58,19188,1,0
1,2,68,19188,9,0
1,2,78,43845,11,0
1,2,60,22127,0,0
1,2,60,22128,0,0
0,2,58,19189,1,0
1,2,68,19189,9,0
0,2,58,19190,1,0
1,2,68,19190,9,0
0,2,58,19191,1,0
1,2,68,19191,9,0
0,2,58,19192,1,0
1,2,68,19192,9,0
1,2,78,43846,11,0
1,2,60,22129,0,0
0,2,58,19193,1,0
1,2,68,19193,9,0
1,2,60,22130,0,0
0,2,58,19194,1,0
1,2,68,19194,9,0
1,2,78,43847,11,0
1,2,60,22131,0,0
1,2,60,22132,0,0
0,2,58,19195,1,0
1,2,68,19195,9,0
0,2,58,19196,1,0
1,2,68,19196,9,0
0,2,58,19197,1,0
1,2,68,19197,9,0
1,2,78,43848,11,0
1,2,60,22133,0,0
0,2,58,19198,1,0
1,2,68,19198,9,0
1,2,60,22134,0,0
0,2,58,19199,1,0
1,2,68,19199,9,0
1,2,78,43849,11,0
1,2,60,22135,0,0
0,2,58,19200,1,0
1,2,68,19200,9,0
1,2,60,22136,0,0
0,2,58,19201,1,0
1,2,68,19201,9,0
1,2,78,43850,11,0
1,2,60,22137,0,0
0,2,58,19202,1,0
1,2,68,19202,9,0
1,2,60,22138,0,0
0,2,58,19203,1,0
1,2,68,19203,9,0
1,2,78,43851,11,0
1,2,60,22139,0,0
0,2,58,19204,1,0
1,2,68,19204,9,0
1,2,60,22140,0,0
0,2,58,19205,1,0
1,2,68,19205,9,0
1,2,78,43852,11,0
1,2,60,22141,0,0
1,2,60,22142,0,0
0,2,58,19206,1,0
1,2,68,19206,9,0
0,2,58,19207,1,0
1,2,68,19207,9,0
0,2,58,19208,1,0
1,2,68,19208,9,0
1,2,78,43853,11,0
1,2,60,22143,0,0
1,2,60,22144,0,0
0,2,58,19209,1,0
1,2,68,19209,9,0
0,2,58,19210,1,0
1,2,68,19210,9,0
1,2,78,43854,11,0
1,2,60,22145,0,0
0,2,58,19211,1,0
1,2,68,19211,9,0
0,2,58,19212,1,0
1,2,68,19212,9,0
1,2,60,22146,0,0
0,2,58,19213,1,0
1,2,68,19213,9,0
1,2,78,43855,11,0
1,2,60,22147,0,0
0,2,58,19214,1,0
1,2,68,19214,9,0
0,2,58,19215,1,0
1,2,68,19215,9,0
1,2,60,22148,0,0
0,2,58,19216,1,0
1,2,68,19216,9,0
0,2,58,19217,1,0
1,2,68,19217,9,0
1,2,78,43856,11,0
1,2,60,22149,0,0
1,2,60,22150,0,0
0,2,58,19218,1,0
1,2,68,19218,9,0
1,2,78,43857,11,0
1,2,60,22151,0,0
0,2,58,19219,1,0
1,2,68,19219,9,0
1,2,60,22152,0,0
1,2,78,43858,11,0
1,2,60,22153,0,0
0,2,58,19220,1,0
1,2,68,19220,9,0
1,2,60,22154,0,0
0,2,58,19221,1,0
1,2,68,19221,9,0
1,2,78,43859,11,0
1,2,60,22155,0,0
1,2,60,22156,0,0
0,2,58,19222,1,0
1,2,68,19222,9,0
0,2,58,19223,1,0
1,2,68,19223,9,0
1,2,78,43860,11,0
1,2,60,22157,0,0
0,2,58,19224,1,0
