Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
1,2,78,43833,11,0.056028,0
1,2,60,22103,0,1.90E-05,0
0,2,58,19166,1,0.053579,0
1,2,68,19166,9,0.000214,0
1,2,60,22104,0,0.010212,0
0,2,58,19167,1,0.038681,0
1,2,68,19167,9,0.000212,0
1,2,78,43834,11,0.025106,0
1,2,60,22105,0,5.30E-05,0
0,2,58,19168,1,0.054768,0
1,2,68,19168,9,0.00024,0
1,2,60,22106,0,0.008917,0
0,2,58,19169,1,0.044272,0
1,2,68,19169,9,0.000216,0
0,2,58,19170,1,0.017683,0
1,2,68,19170,9,0.000178,0
1,2,78,43835,11,0.001617,0
1,2,60,22107,0,5.00E-05,0
1,2,60,22108,0,0.055988,0
0,2,58,19171,1,0.00215,0
1,2,68,19171,9,0.000203,0
0,2,58,19172,1,0.039867,0
1,2,68,19172,9,0.000179,0
1,2,78,43836,11,0.021607,0
1,2,60,22109,0,5.30E-05,0
0,2,58,19173,1,0.015717,0
1,2,68,19173,9,0.000255,0
0,2,58,19174,1,0.045258,0
1,2,68,19174,9,0.000202,0
1,2,60,22110,0,0.002469,0
0,2,58,19175,1,0.043495,0
1,2,68,19175,9,0.000229,0
1,2,78,43837,11,0.020292,0
1,2,60,22111,0,1.90E-05,0
0,2,58,19176,1,0.045066,0
1,2,68,19176,9,0.000203,0
1,2,60,22112,0,0.01875,0
0,2,58,19177,1,0.025862,0
1,2,68,19177,9,0.000488,0
1,2,78,43838,11,0.029664,0
1,2,60,22113,0,1.90E-05,0
1,2,60,22114,0,0.063983,0
0,2,58,19178,1,0.02221,0
1,2,68,19178,9,0.000213,0
1,2,78,43839,11,0.041546,0
1,2,60,22115,0,1.90E-05,0
0,2,58,19179,1,0.0188,0
1,2,68,19179,9,0.000184,0
1,2,60,22116,0,0.044996,0
0,2,58,19180,1,0.028894,0
1,2,68,19180,9,0.000208,0
1,2,78,43840,11,0.034891,0
1,2,60,22117,0,1.90E-05,0
1,2,60,22118,0,0.063995,0
0,2,58,19181,1,0.012487,0
1,2,68,19181,9,0.000205,0
1,2,78,43841,11,0.043326,0
1,2,60,22119,0,1.90E-05,0
0,2,58,19182,1,0.020472,0
1,2,68,19182,9,0.000199,0
0,2,58,19183,1,0.030727,0
