Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,78,25486,11,0.0,0
0,2,58,50876,0,0.005439758300781299,0
0,2,58,50876,8,9.894371032709987e-05,0
0,2,58,50877,0,0.062451124191284194,0
0,2,58,50877,8,0.00010919570922850175,0
0,2,78,25487,11,0.0569462776184082,0
0,2,58,50878,0,0.005500555038452204,0
0,2,58,50878,8,0.00011920928955069798,0
0,2,58,50879,0,0.062427997589111384,0
0,2,58,50879,8,0.00012922286987301912,0
0,2,78,25488,11,0.0568690299987793,0
0,2,58,50880,0,0.005546331405639704,0
0,2,58,50880,8,0.00011587142944330386,0
0,2,58,50881,0,0.062431097030639704,0
0,2,58,50881,8,0.00012230873107910156,0
0,2,78,25489,11,0.05682921409606928,0
0,2,58,50882,0,0.005598783493041992,0
0,2,58,50882,8,0.00013184547424321957,0
0,2,58,50883,0,0.06241536140441889,0
0,2,58,50883,8,0.0001246929168701172,0
0,2,78,25490,11,0.05677556991577154,0
0,2,58,50884,0,0.005606651306152344,0
0,2,58,50884,8,0.00012421607971191406,0
0,2,58,50885,0,0.06242847442626953,0
0,2,58,50885,8,0.00013136863708496094,0
1,2,60,11400,1,0.017609119415283203,0
0,2,68,11400,9,6.747245788574219e-05,0
0,2,78,25491,11,0.0390779972076416,0
0,2,58,50886,0,0.0056610107421875,0
0,2,58,50886,8,0.0001227855682373047,0
0,2,58,50887,0,0.06242680549621582,0
0,2,58,50887,8,8.845329284667969e-05,0
0,2,78,25492,11,0.056752920150756836,0
0,2,58,50888,0,0.005703449249267578,0
0,2,58,50888,8,0.00011038780212402344,0
0,2,58,50889,0,0.06244182586669922,0
0,2,58,50889,8,0.00013113021850585938,0
0,2,78,25493,11,0.056662797927856445,0
0,2,58,50890,0,0.005750179290771484,0
0,2,58,50890,8,0.00012373924255359992,0
0,2,58,50891,0,0.062428951263427845,0
0,2,58,50891,8,0.0001289844512939453,0
0,2,78,25494,11,0.05662059783935547,0
0,2,58,50892,0,0.005757331848144531,0
0,2,58,50892,8,0.00012493133544921875,0
0,2,58,50893,0,0.06242990493774414,0
0,2,58,50893,8,0.00011420249938964844,0
0,2,78,25495,11,0.056624412536621094,0
0,2,58,50894,0,0.0058138370513916016,0
0,2,58,50894,8,0.00011038780212402344,0
0,2,58,50895,0,0.06239771842956521,0
0,2,58,50895,8,0.00011682510375998767,0
0,2,78,25496,11,0.056612491607666016,0
0,2,58,50896,0,0.005818605422973633,0
0,2,58,50896,8,0.0001327991485595703,0
0,2,58,50897,0,0.062421560287475586,0
0,2,58,50897,8,0.00013971328735351562,0
0,2,78,25497,11,0.05653786659240745,0
0,2,58,50898,0,0.005866289138793723,0
