Source,Destination,Length,SequenceID,MessageType,Time Interval,Label
0,2,58,29966,0,0.0,0
0,2,58,29966,8,2.0265579223632812e-05,0
0,2,78,47838,11,0.01844310760498047,0
0,2,58,29967,0,0.044059038162231445,0
0,2,58,29967,8,0.00014662742614746094,0
0,2,58,29968,0,0.06240367889404297,0
0,2,58,29968,8,0.00010395050048828125,0
0,2,78,47839,11,0.018340110778808594,0
0,2,58,29969,0,0.04410529136657715,0
0,2,58,29969,8,0.00011706352233886719,0
0,2,58,29970,0,0.06243324279785156,0
0,2,58,29970,8,0.00013256072998046875,0
0,2,78,47840,11,0.018264055252075195,0
0,2,58,29971,0,0.04415154457092285,0
0,2,58,29971,8,0.00012946128845214844,0
1,2,60,22593,1,0.048128366470336914,0
0,2,68,22593,9,7.271766662597656e-05,0
0,2,58,29972,0,0.01422262191772461,0
0,2,58,29972,8,0.00013113021850585938,0
1,2,60,22594,1,0.016983985900878906,0
0,2,68,22594,9,5.1975250244140625e-05,0
0,2,78,47841,11,0.0011816024780273438,0
0,2,58,29973,0,0.04420733451843262,0
0,2,58,29973,8,0.00013303756713867188,0
0,2,58,29974,0,0.06242227554321289,0
0,2,58,29974,8,0.0001342296600341797,0
0,2,78,47842,11,0.018158435821533203,0
0,2,58,29975,0,0.04425477981567383,0
0,2,58,29975,8,0.0001308917999267578,0
0,2,58,29976,0,0.062422990798950195,0
0,2,58,29976,8,0.0001308917999267578,0
0,2,78,47843,11,0.018106460571289062,0
3,2,78,47844,11,0.02003765106201172,1
0,2,58,29977,0,0.024271249771118164,1
0,2,58,29977,8,0.0001277923583984375,1
0,2,58,29978,0,0.06242823600769043,1
0,2,58,29978,8,0.00011682510375976562,1
0,2,78,47844,11,0.018069028854370117,1
0,2,58,29979,0,0.04437851905822754,1
0,2,58,29979,8,0.00012922286987304688,1
3,2,78,47845,11,0.018818378448486328,1
3,2,78,47846,11,0.15596294403076172,1
3,2,78,47847,11,0.15602564811706543,1
3,2,78,47848,11,0.15970444679260254,1
3,2,78,47849,11,0.16428208351135254,1
3,2,78,47850,11,0.15599703788757324,1
3,2,78,47851,11,0.16402506828308105,1
3,2,78,47852,11,0.16419148445129395,1
