Time,Source,Destination,Protocol,Length,SequenceID,MessageType
51.352137,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,64599,Delay_Resp
51.355340,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59998,Sync
51.372335,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60087,Sync
51.376684,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60133,Sync
51.387335,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59976,Sync
51.400337,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60067,Sync
51.413334,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60045,Sync
51.418426,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,64600,Delay_Req
51.418867,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,64600,Delay_Resp
51.425346,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60111,Sync
51.432904,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,62835,Announce
51.432940,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60134,Sync
51.437344,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60088,Sync
51.451343,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,59954,Sync
51.467339,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60068,Sync
51.483339,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60047,Sync
51.496692,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60135,Sync
51.500334,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60112,Sync
51.520349,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60089,Sync
51.536346,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60069,Sync
51.543057,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,64601,Delay_Req
51.543277,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,64601,Delay_Resp
