Time,Source,Destination,Protocol,Length,SequenceID,MessageType
1.004755,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19134,9
1.008913,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43818,11
1.008934,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22073,0
1.072971,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22074,0
1.119536,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19135,1
1.119742,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19135,9
1.136935,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43819,11
1.136954,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22075,0
1.188575,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19136,1
1.188837,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19136,9
1.192976,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22076,0
1.238819,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19137,1
1.239143,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19137,9
1.256938,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43820,11
1.256957,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22077,0
1.305767,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19138,1
1.306007,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19138,9
1.320943,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22078,0
1.369523,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19139,1
1.369759,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19139,9
1.384941,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43821,11
1.384994,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22079,0
1.448940,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22080,0
1.449008,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19140,1
1.449199,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19140,9
1.504963,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43822,11
1.505018,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22081,0
1.558086,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19141,1
1.558336,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19141,9
1.568939,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22082,0
1.632990,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43823,11
1.633009,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22083,0
1.676540,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19142,1
1.676784,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19142,9
1.695801,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19143,1
1.696008,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19143,9
1.696972,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22084,0
1.760971,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43824,11
1.760990,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22085,0
1.799656,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19144,1
1.800096,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19144,9
1.820317,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19145,1
1.820520,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19145,9
1.824912,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22086,0
1.880929,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43825,11
1.880947,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22087,0
1.902284,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19146,1
1.902632,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19146,9
1.906613,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19147,1
1.906797,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19147,9
1.944926,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22088,0
1.969381,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19148,1
1.969627,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19148,9
2.008923,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43826,11
2.008942,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22089,0
2.071611,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19149,1
2.071853,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19149,9
2.072915,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22090,0
2.093790,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19150,1
2.094014,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19150,9
2.136906,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,78,43827,11
2.136924,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22091,0
2.192919,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,60,22092,0
2.196371,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19151,1
2.196592,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19151,9
2.201823,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19152,1
2.202024,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19152,9
2.210440,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19153,1
2.210638,c4:5a:b1:3a:1b:46,01:1b:19:00:00:00,PTPv2,68,19153,9
2.226615,b8:ce:f6:5e:6b:4a,01:1b:19:00:00:00,PTPv2,58,19154,1
