Time,Source,Destination,Protocol,Length,SequenceID,MessageType
377.067977,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,7089,0
377.096450,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37420,0
377.096477,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37420,8
377.131868,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,3545,11
377.131881,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,7090,0
377.158954,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37421,0
377.158984,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37421,8
377.159527,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,51589,11
377.176127,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,3537,11
377.195681,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,7091,0
377.221459,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37422,0
377.221487,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37422,8
377.259807,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,3546,11
377.259819,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,7092,0
377.273783,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
377.273828,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
377.283963,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37423,0
377.283992,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,37423,8
377.284532,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,51590,11
377.315125,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,3538,11
377.323677,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,7093,0
