Time,Source,Destination,Protocol,Length,SequenceID,MessageType
455.244430,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13014,8
455.261466,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19055,0
455.306908,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13015,0
455.306936,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13015,8
455.306940,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6508,11
455.321669,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,41267,11
455.325329,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42296,11
455.325382,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19056,0
455.369412,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13016,0
455.369438,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13016,8
455.381126,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19057,0
455.431916,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13017,0
455.431947,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13017,8
455.431950,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6509,11
455.445240,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42297,11
455.445265,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19058,0
455.471667,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,41268,11
455.476641,c4:5a:b1:80:60:8a,01:00:0c:cc:cc:cd,-,68,-,-
455.494421,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13018,0
455.494446,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13018,8
455.509131,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19059,0
455.556925,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13019,0
455.556956,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13019,8
455.556959,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6510,11
455.573314,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42298,11
455.573351,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19060,0
455.617668,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,41269,11
455.619430,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13020,0
455.619462,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13020,8
455.637142,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19061,0
455.681934,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13021,0
455.681964,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13021,8
455.681967,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6511,11
455.693350,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42299,11
455.693350,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19062,0
455.744439,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13022,0
455.744472,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13022,8
455.757142,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19063,0
455.757676,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,41270,11
455.806943,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13023,0
455.806974,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13023,8
455.806978,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6512,11
455.821294,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42300,11
455.821324,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19064,0
455.869448,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13024,0
455.869477,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13024,8
455.885227,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19065,0
455.904667,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,41271,11
455.931953,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13025,0
455.931984,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13025,8
455.931987,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6513,11
455.949251,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42301,11
455.949281,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19066,0
455.994457,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13026,0
455.994487,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13026,8
456.005144,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19067,0
456.054674,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,41272,11
456.056961,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13027,0
456.056996,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13027,8
456.057000,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6514,11
456.069303,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42302,11
456.069326,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19068,0
456.119465,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13028,0
456.119493,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13028,8
456.133117,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19069,0
456.181970,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13029,0
456.181997,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13029,8
456.182003,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,6515,11
456.197324,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,42303,11
456.197349,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19070,0
456.207682,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,41273,11
456.244474,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13030,0
456.244502,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,13030,8
456.261198,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,19071,0
