Time,Source,Destination,Protocol,Length,SequenceID,MessageType
26.976124,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17269,Sync
26.976149,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17269,Follow_Up
27.000740,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61793,Announce
27.000782,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58050,Sync
27.038628,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17270,Sync
27.038657,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17270,Follow_Up
27.039040,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,8642,Announce
27.064402,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58051,Sync
27.082494,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,61782,Announce
27.101133,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17271,Sync
27.101158,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17271,Follow_Up
27.128709,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61794,Announce
27.128750,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58052,Sync
27.163637,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17272,Sync
27.163661,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17272,Follow_Up
27.164044,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,8643,Announce
27.192398,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58053,Sync
27.221492,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,61783,Announce
27.226141,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17273,Sync
27.226172,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17273,Follow_Up
27.248675,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61795,Announce
27.248717,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58054,Sync
27.288645,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17274,Sync
27.288675,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17274,Follow_Up
27.289048,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,8644,Announce
27.312176,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58055,Sync
27.351149,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17275,Sync
27.351179,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17275,Follow_Up
27.361500,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,61784,Announce
27.376305,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61796,Announce
27.376317,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58056,Sync
27.413654,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17276,Sync
27.413678,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17276,Follow_Up
27.414052,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,8645,Announce
27.440148,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58057,Sync
27.476158,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17277,Sync
27.476186,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17277,Follow_Up
27.499493,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,61785,Announce
27.504339,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61797,Announce
27.504352,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58058,Sync
27.538662,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17278,Sync
27.538691,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17278,Follow_Up
27.539055,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,8646,Announce
27.560241,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58059,Sync
27.601166,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17279,Sync
27.601194,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17279,Follow_Up
27.624612,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61798,Announce
27.624651,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58060,Sync
27.637494,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,61786,Announce
27.663671,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17280,Sync
27.663696,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17280,Follow_Up
27.664059,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,8647,Announce
27.688298,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58061,Sync
27.726175,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17281,Sync
27.726205,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17281,Follow_Up
27.752737,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61799,Announce
27.752778,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58062,Sync
27.774497,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,61787,Announce
27.788679,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17282,Sync
27.788705,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17282,Follow_Up
27.789064,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,78,8648,Announce
27.816400,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,58063,Sync
27.851183,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17283,Sync
27.851208,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,17283,Follow_Up
27.872947,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,61800,Announce
