Time,Source,Destination,Protocol,Length,SequenceID,MessageType
35.973775,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61003,Sync
35.987768,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61216,Sync
35.999766,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61241,Sync
35.999944,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63415,Announce
35.999964,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61294,Sync
36.013772,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60855,Sync
36.031775,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61147,Sync
36.046772,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61217,Sync
36.059772,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61269,Sync
36.063838,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61295,Sync
36.065737,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,207,Delay_Req
36.065942,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,207,Delay_Resp
36.072768,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61171,Sync
36.087776,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60939,Sync
36.103736,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,208,Delay_Req
36.103946,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,208,Delay_Resp
36.104773,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61243,Sync
36.119772,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61076,Sync
36.127858,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63416,Announce
36.127886,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61296,Sync
36.135767,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61270,Sync
36.152872,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61172,Sync
36.165799,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61077,Sync
36.183793,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61297,Sync
36.184776,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61218,Sync
36.205775,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61244,Sync
36.216449,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,209,Delay_Req
36.216652,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,209,Delay_Resp
36.217771,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61271,Sync
36.231769,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60960,Sync
36.243772,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61125,Sync
36.247891,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,78,63417,Announce
36.247919,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61298,Sync
36.255768,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61245,Sync
36.268771,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61173,Sync
36.281767,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61150,Sync
36.293175,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,210,Delay_Req
36.293437,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,210,Delay_Resp
36.293773,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61174,Sync
36.306806,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,60861,Sync
36.311836,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,60,61299,Sync
36.314972,b8:ce:f6:5e:6a:fa,01:1b:19:00:00:00,PTPv2,58,211,Delay_Req
36.315096,c4:5a:b1:80:60:8a,01:1b:19:00:00:00,PTPv2,68,211,Delay_Resp
